type,series,date_numeric,.median_slope,.lower_slope,.upper_slope,.median_smooth,.lower_smooth,.upper_smooth,min,max
nonseasonal,Study 3.l,-670.3902815631262,2.7916087108614818e-5,-0.0010147818734318468,0.001084873210777104,1.859182671744331,1.616194171232982,2.0958502662144007,-955,291
nonseasonal,Study 3.l,-667.2279569138277,2.1367765778990133e-5,-0.0010343654764488617,0.001095671422363107,1.8593474303449127,1.6173210982639434,2.095642479671491,-955,291
nonseasonal,Study 3.l,-664.0656322645291,1.3145898147826074e-5,-0.0010505958231543655,0.0010985980152367063,1.8592639390023082,1.6174498811235145,2.094570198807398,-955,291
nonseasonal,Study 3.l,-660.9033076152305,6.016178888401669e-6,-0.0010682222499003302,0.0010980719841846565,1.8596171091417872,1.6181554547460248,2.094110848059095,-955,291
nonseasonal,Study 3.l,-657.740982965932,-3.7631672222815382e-6,-0.001081592381002583,0.0010943370368443612,1.8598059629620431,1.619285185646238,2.093830749545424,-955,291
nonseasonal,Study 3.l,-654.5786583166333,-1.259137971665325e-5,-0.0011016118985185397,0.0010971899927159072,1.859849098677201,1.6185039568407495,2.093403484758138,-955,291
nonseasonal,Study 3.l,-651.4163336673347,-1.8899796061511154e-5,-0.0011259892991444254,0.0010978444065834478,1.8593948883775897,1.618862079048054,2.094602672003238,-955,291
nonseasonal,Study 3.l,-648.2540090180361,-2.6501390193445218e-5,-0.001140661716625413,0.0010967462314881425,1.8592080938820452,1.6194299906648455,2.0940631616810093,-955,291
nonseasonal,Study 3.l,-645.0916843687374,-3.2805259397861164e-5,-0.001159362779334927,0.0010916447668041225,1.8584342236546534,1.6200804197809748,2.0937390387639336,-955,291
nonseasonal,Study 3.l,-641.9293597194389,-4.0865576589332875e-5,-0.001174937338294102,0.0010907537242921261,1.8580622495088235,1.6208726735281433,2.093457040094424,-955,291
nonseasonal,Study 3.l,-638.7670350701403,-4.746693904600363e-5,-0.0011897270249527914,0.0010982708642803818,1.8576691772291816,1.6214378914294374,2.0935793213716294,-955,291
